dir,survey,period,file,status,n_vars,concept,candidate_variables
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,hours,
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,weight,
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,psu,conglome
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,stratum,estrato
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,geography,dominio
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,month_year,
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,industry,
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,occupation,
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,household_id,vivienda|hogar
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,person_id,codperso
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,panel_rotation,
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,employment_indicator,ocu200
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,age,p208b1|p208b2|p208b3
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,sex,p207a|p207b
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,dependent_worker,
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,self_employment,
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,informality,
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,monthly_earnings,ingtot
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,hours,
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,weight,
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,psu,conglome
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,stratum,estrato
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,geography,dominio
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,month_year,
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,industry,
